chemical name,InChIKey,standardised_smiles,source,mitochondrial toxic,MW,LogP,Crippen MR,NHD,NHA,TPSA,HA Count
ESTRADIOL CYPIONATE,UOACKFBJUYNSLK-XRKIENNPSA-N,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,tox21_mmp,toxic,396.57100000000025,6.130500000000006,113.79580000000007,1,3,46.53,29
TERT-BUTYLHYDROQUINONE,BGNXCDMCOKJUMV-UHFFFAOYSA-N,CC(C)(C)c1cc(O)ccc1O,tox21_mmp,toxic,166.21999999999997,2.395300000000001,48.47160000000004,2,2,40.46,12
MALACHITE GREEN OXALATE,CNYGFPPAGUCRIC-UHFFFAOYSA-L,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O,tox21_mmp,toxic,927.0200000000004,3.5846000000000036,257.8139999999994,4,10,241.95999999999998,68
5424-37-3,GKQYGRWQCWWSHN-UHFFFAOYSA-N,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1.Cl.Cl,tox21_mmp,toxic,445.3540000000001,5.051840000000003,128.92219999999998,4,5,118.94999999999999,30
BUCLIZINE DIHYDROCHLORIDE,SDBHDSZKNVDKNU-UHFFFAOYSA-N,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1.Cl.Cl,tox21_mmp,toxic,505.96100000000007,7.388300000000008,146.22499999999985,0,2,6.48,33
OUABAIN,LPMXVESGRSUGHW-HBYQJFLCSA-N,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,tox21_mmp,toxic,584.6590000000006,-1.5149999999999972,138.59840000000003,8,12,206.59999999999997,41
LIOTHYRONINE,AUYYCJSJGJYCDS-LBPRGKRZSA-N,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,tox21_mmp,toxic,650.9760000000001,3.952700000000001,112.08900000000001,3,4,92.78000000000002,23
FENTICLOR,ANUSOIHIIPAHJV-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O,tox21_mmp,toxic,287.16700000000003,4.555800000000003,70.35660000000001,2,3,40.46,17
BENZBROMARONE,WHQCHUCQKNIQEC-UHFFFAOYSA-N,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,tox21_mmp,toxic,424.088,5.456800000000003,92.53130000000002,1,3,50.44,22
CLOSPIRAZINE HYDROCHLORIDE,JRSBQVOEILNXGS-UHFFFAOYSA-N,Cl.O=C1CSC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)N1,tox21_mmp,toxic,482.5020000000001,5.409700000000004,129.89370000000005,1,5,35.580000000000005,30
