chemical name,InChIKey,standardised_smiles,source,mitochondrial toxic
ISOSORBIDE DINITRATE,MOYKHGMNXAOIAT-JGWLITMVSA-N,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],chembl_mito_safe_drugs,non-toxic
INDAPAMIDE,NDDAHWYSQHTHNT-UHFFFAOYSA-N,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,chembl_mito_safe_drugs,non-toxic
METHOXSALEN,QXKHYNVANLEOEG-UHFFFAOYSA-N,COc1c2occc2cc2ccc(=O)oc12,chembl_mito_safe_drugs,non-toxic
DICHLORPHENAMIDE,GJQPMPFPNINLKP-UHFFFAOYSA-N,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,chembl_mito_safe_drugs,non-toxic
ETHOXZOLAMIDE,OUZWUKMCLIBBOG-UHFFFAOYSA-N,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,chembl_mito_safe_drugs,non-toxic
SULPIRIDE,BGRJTUBHPOOWDU-UHFFFAOYSA-N,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,chembl_mito_safe_drugs,non-toxic
GATIFLOXACIN,XUBOMFCQGDBHNK-UHFFFAOYSA-N,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,chembl_mito_safe_drugs,non-toxic
HYDROCHLOROTHIAZIDE,JZUFKLXOESDKRF-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,chembl_mito_safe_drugs,non-toxic
SULFAMERAZINE,QPPBRPIAZZHUNT-UHFFFAOYSA-N,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,chembl_mito_safe_drugs,non-toxic
TRETINOIN,SHGAZHPCJJPHSC-YCNIQYBTSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,chembl_mito_safe_drugs,non-toxic
