PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),535 nm Activity,535 nm Potency (uM),535 nm Efficacy (%),590 nm Activity,590 nm Potency (uM),590 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source,standardised_smiles
3,144203554.0,9403.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O,Active,49.0,,,active antagonist,active antagonist,6.68242,-57.5367,inactive,,0,inconclusive antagonist,5.30804,-49.1416,inconclusive,,,NCI,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1
7,144203558.0,16043.0,CC(C)(C)C1=C(C=CC(=C1)O)O,Active,47.0,,,active antagonist,active antagonist,24.0651,-91.976,active agonist,27.0015,33.8497,active antagonist,27.0015,-75.5062,inactive,,0,SigmaAldrich,CC(C)(C)c1cc(O)ccc1O
8,144203559.0,2724411.0,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O,Active,47.0,,,active antagonist,active antagonist,28.7255,-104.862,inactive,,0,active antagonist,26.6032,-107.612,inactive,,0,NCI,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O
13,144203564.0,79472.0,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl,Active,48.0,,,active antagonist,active antagonist,25.0066,-99.0601,active agonist,28.0578,96.2381,active antagonist,22.095,-51.6939,inactive,,0,Labotest,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1.Cl.Cl
23,144203574.0,65463.0,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl.Cl,Active,43.0,,,active antagonist,active antagonist,32.2305,-51.9476,inactive,,0,inconclusive antagonist,29.8493,-62.8369,inactive,,0,NCI,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1.Cl.Cl
24,144203575.0,439501.0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,Active,69.0,,,active antagonist,active antagonist,0.237101,-78.0102,inactive,,0,active antagonist,0.228175,-77.7139,inconclusive agonist,,,NCI,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
29,144203580.0,5920.0,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,Active,47.0,,,active antagonist,active antagonist,24.6377,-91.0316,active agonist,23.7101,29.6447,inconclusive antagonist,23.7101,-68.9737,inactive,,0,NCI,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
31,144203582.0,7329.0,C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,Active,64.0,,,active antagonist,active antagonist,2.50066,-106.562,active agonist,10.3448,30.7888,active antagonist,2.59849,-105.163,active antagonist,14.1232,-41.5495,NIEHS,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O
41,144203592.0,2333.0,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,Active,62.0,,,active antagonist,active antagonist,7.21552,-137.67,inconclusive agonist,31.618,24.9825,active antagonist,8.09594,-94.4776,inactive,,0,NCI,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
55,144203606.0,122820.0,C1CN(CCC12NC(=O)CS2)CCCN3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl.Cl,Active,46.0,,,active antagonist,active antagonist,34.8017,-107.032,inactive,,0,active antagonist,33.4915,-106.662,inactive,,0,NCI,Cl.O=C1CSC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)N1
